,City,date,lat,lon,max_temp,clouds,wind,humidity,Country
493,marsh harbour,1595986633,26.54,-77.06,82.38,78,8.43,75,BS
494,kasongo-lunda,1595986633,-6.47,16.82,64.08,0,0.58,43,CD
495,unguia,1595986633,8.04,-77.09,76.71,91,2.26,88,CO
496,kargat,1595986633,55.2,80.28,59.65,0,6.8,88,RU
497,chanika,1595986633,-5.42,38.02,63.05,87,3.85,94,TZ
498,whitecourt,1595986633,54.15,-115.69,77.0,75,9.17,53,CA
499,fomento,1595986633,22.1,-79.72,80.6,20,9.17,78,CU
500,poplar bluff,1595986633,36.76,-90.39,82.4,1,4.47,74,US
501,stokmarknes,1595986633,68.56,14.91,63.0,12,5.01,72,NO
502,jequitinhonha,1595986633,-16.43,-41.0,66.83,79,2.68,87,BR
503,gunnedah,1595986633,-30.98,150.25,53.6,90,2.57,93,AU
504,arica,1595986633,-18.48,-70.3,59.0,90,5.82,77,CL
505,the valley,1595986411,18.22,-63.06,84.2,75,18.34,74,AI
506,la asuncion,1595986634,11.03,-63.86,82.4,51,8.05,83,VE
507,indramayu,1595986395,-6.33,108.32,81.75,92,7.56,58,ID
508,vostok,1595986566,46.49,135.88,74.08,81,5.73,76,RU
509,taltal,1595986634,-25.4,-70.48,59.14,18,3.36,61,CL
510,filadelfia,1595986357,39.95,-75.16,88.0,75,9.17,48,US
511,pyaozerskiy,1595986634,65.83,31.17,54.91,19,5.21,73,RU
512,ossora,1595986565,59.24,163.07,60.8,97,7.23,77,RU
513,fort morgan,1595986634,40.25,-103.8,66.2,40,9.17,82,US
514,macamic,1595986634,48.75,-79.0,60.8,75,4.7,93,CA
515,gympie,1595986634,-26.19,152.66,64.99,0,3.0,52,AU
516,girau do ponciano,1595986634,-9.88,-36.83,66.16,2,4.36,98,BR
517,beech grove,1595986634,39.72,-86.09,79.0,1,2.77,61,US
518,mercedes,1595986634,-34.65,-59.43,42.01,0,2.91,62,AR
519,teahupoo,1595986635,-17.83,-149.27,82.4,75,19.46,65,PF
520,asfi,1595986635,32.3,-9.24,71.1,99,13.13,83,MA
521,sevsk,1595986635,52.15,34.49,61.66,28,4.45,82,RU
522,batamshinskiy,1595986635,50.56,58.27,57.2,0,2.91,82,KZ
523,swellendam,1595986635,-34.02,20.44,42.8,0,3.36,93,ZA
524,beoumi,1595986635,7.67,-5.58,71.6,20,4.7,100,CI
525,brownfield,1595986383,33.18,-102.27,86.0,52,3.0,51,US
526,houma,1595986580,29.6,-90.72,77.0,75,12.75,94,US
527,huescar,1595986363,37.81,-2.54,72.0,0,1.48,68,ES
528,sechura,1595986635,-5.56,-80.82,61.9,0,12.68,79,PE
529,neepawa,1595986636,50.23,-99.47,75.2,20,8.05,60,CA
530,intipuca,1595986636,13.2,-88.05,76.66,100,1.34,90,SV
